,attacks
6175,normal
6176,normal
6177,normal
6178,guess_passwd
6179,normal
6180,guess_passwd
6181,satan
6182,smurf
6183,neptune
6184,normal
6185,normal
6186,processtable
6187,neptune
6188,warezmaster
6189,warezmaster
6190,warezmaster
6191,processtable
6192,normal
6193,normal
6194,smurf
6195,normal
6196,satan
6197,neptune
6198,normal
6199,normal
6200,normal
6201,saint
6202,neptune
6203,mscan
6204,mscan
6205,normal
6206,satan
6207,normal
6208,neptune
6209,normal
6210,normal
6211,smurf
6212,normal
6213,normal
6214,normal
6215,smurf
6216,apache2
6217,normal
6218,neptune
6219,warezmaster
6220,neptune
6221,normal
6222,normal
6223,httptunnel
6224,satan
6225,normal
6226,warezmaster
6227,warezmaster
6228,warezmaster
6229,normal
6230,normal
6231,normal
6232,warezmaster
6233,neptune
6234,apache2
6235,neptune
6236,normal
6237,normal
6238,normal
6239,mscan
6240,normal
6241,normal
6242,normal
6243,neptune
6244,normal
6245,normal
6246,normal
6247,normal
6248,normal
6249,normal
6250,normal
6251,normal
6252,neptune
6253,normal
6254,guess_passwd
6255,warezmaster
6256,normal
6257,processtable
6258,neptune
6259,normal
6260,processtable
6261,neptune
6262,neptune
6263,normal
6264,neptune
6265,normal
6266,neptune
6267,warezmaster
6268,guess_passwd
6269,normal
6270,neptune
6271,guess_passwd
6272,back
6273,neptune
6274,satan
6275,normal
6276,warezmaster
6277,neptune
6278,neptune
6279,normal
6280,neptune
6281,mailbomb
6282,neptune
6283,normal
6284,normal
6285,neptune
6286,normal
6287,normal
6288,neptune
6289,mscan
6290,normal
6291,portsweep
6292,normal
6293,apache2
6294,neptune
6295,back
6296,normal
6297,smurf
6298,apache2
6299,neptune
6300,normal
6301,apache2
6302,back
6303,normal
6304,apache2
6305,normal
6306,neptune
6307,smurf
6308,normal
6309,apache2
6310,neptune
6311,guess_passwd
6312,normal
6313,ipsweep
6314,normal
6315,normal
6316,neptune
6317,normal
6318,normal
6319,neptune
6320,guess_passwd
6321,back
6322,mailbomb
6323,processtable
6324,warezmaster
6325,mscan
6326,neptune
6327,neptune
6328,apache2
6329,normal
6330,warezmaster
6331,processtable
6332,apache2
6333,normal
6334,smurf
6335,normal
6336,guess_passwd
6337,neptune
6338,neptune
6339,neptune
6340,normal
6341,snmpguess
6342,neptune
6343,neptune
6344,smurf
6345,normal
6346,normal
6347,satan
6348,normal
6349,neptune
6350,normal
6351,normal
6352,neptune
6353,neptune
6354,sendmail
6355,neptune
6356,neptune
6357,normal
6358,neptune
6359,normal
6360,mailbomb
6361,guess_passwd
6362,normal
6363,warezmaster
6364,normal
6365,normal
6366,satan
6367,neptune
6368,normal
6369,normal
6370,guess_passwd
6371,normal
6372,warezmaster
6373,normal
6374,normal
6375,mscan
6376,neptune
6377,neptune
6378,guess_passwd
6379,normal
6380,mailbomb
6381,neptune
6382,normal
6383,normal
6384,apache2
6385,normal
6386,normal
6387,normal
6388,normal
6389,neptune
6390,normal
6391,normal
6392,normal
6393,smurf
6394,normal
6395,normal
6396,apache2
6397,processtable
6398,portsweep
6399,satan
6400,httptunnel
6401,processtable
6402,normal
6403,apache2
6404,normal
6405,normal
6406,normal
6407,normal
6408,guess_passwd
6409,warezmaster
6410,guess_passwd
6411,mscan
6412,normal
6413,processtable
6414,normal
6415,httptunnel
6416,neptune
6417,normal
6418,normal
6419,processtable
6420,ftp_write
6421,normal
6422,neptune
6423,normal
6424,snmpgetattack
6425,normal
6426,neptune
6427,warezmaster
6428,back
6429,guess_passwd
6430,normal
6431,mscan
6432,normal
6433,guess_passwd
6434,normal
6435,neptune
6436,normal
6437,normal
6438,normal
6439,normal
6440,ipsweep
6441,normal
6442,normal
6443,normal
6444,apache2
6445,neptune
6446,pod
6447,neptune
6448,normal
6449,normal
6450,normal
6451,mscan
6452,guess_passwd
6453,normal
6454,normal
6455,normal
6456,normal
6457,smurf
6458,normal
6459,satan
6460,guess_passwd
6461,normal
6462,mscan
6463,neptune
6464,neptune
6465,smurf
6466,neptune
6467,guess_passwd
6468,normal
6469,normal
6470,normal
6471,neptune
6472,httptunnel
6473,mscan
6474,portsweep
6475,apache2
6476,apache2
6477,satan
6478,satan
6479,guess_passwd
6480,apache2
6481,normal
6482,mscan
6483,saint
6484,neptune
6485,saint
6486,saint
6487,mailbomb
6488,normal
6489,neptune
6490,normal
6491,snmpguess
6492,normal
6493,processtable
6494,normal
6495,mailbomb
6496,normal
6497,neptune
6498,saint
6499,guess_passwd
6500,normal
6501,guess_passwd
6502,normal
6503,back
6504,normal
6505,normal
6506,normal
6507,normal
6508,normal
6509,processtable
6510,normal
6511,normal
6512,teardrop
6513,neptune
6514,normal
6515,normal
6516,neptune
6517,normal
6518,smurf
6519,guess_passwd
6520,normal
6521,normal
6522,normal
6523,normal
6524,normal
6525,neptune
6526,neptune
6527,apache2
6528,smurf
6529,neptune
6530,neptune
6531,neptune
6532,normal
6533,normal
6534,neptune
6535,processtable
6536,normal
6537,mscan
6538,normal
6539,normal
6540,back
6541,apache2
6542,satan
6543,normal
6544,apache2
6545,satan
6546,guess_passwd
6547,normal
6548,normal
6549,normal
6550,neptune
6551,guess_passwd
6552,apache2
6553,ipsweep
6554,neptune
6555,neptune
6556,normal
6557,back
6558,normal
6559,processtable
6560,normal
6561,mscan
6562,neptune
6563,neptune
6564,normal
6565,normal
6566,normal
6567,normal
6568,neptune
6569,normal
6570,satan
6571,ipsweep
6572,mscan
6573,saint
6574,normal
6575,neptune
6576,normal
6577,guess_passwd
6578,normal
6579,guess_passwd
6580,snmpguess
6581,neptune
6582,neptune
6583,satan
6584,guess_passwd
6585,normal
6586,processtable
6587,warezmaster
6588,saint
6589,normal
6590,neptune
6591,normal
6592,neptune
6593,mscan
6594,neptune
6595,guess_passwd
6596,normal
6597,normal
6598,normal
6599,neptune
6600,normal
6601,warezmaster
6602,normal
6603,satan
6604,normal
6605,processtable
6606,normal
6607,processtable
6608,processtable
6609,neptune
6610,satan
6611,back
6612,normal
6613,neptune
6614,normal
6615,guess_passwd
6616,apache2
6617,normal
6618,normal
6619,neptune
6620,normal
6621,neptune
6622,normal
6623,neptune
6624,normal
6625,normal
6626,normal
6627,normal
6628,neptune
6629,mscan
6630,processtable
6631,normal
6632,normal
6633,neptune
6634,mailbomb
6635,saint
6636,neptune
6637,normal
6638,normal
6639,normal
6640,back
6641,normal
6642,snmpgetattack
6643,nmap
6644,normal
6645,normal
6646,back
6647,mscan
6648,normal
6649,neptune
6650,processtable
6651,normal
6652,smurf
6653,neptune
6654,normal
6655,normal
6656,normal
6657,normal
6658,neptune
6659,guess_passwd
6660,normal
6661,normal
6662,normal
6663,neptune
6664,neptune
6665,normal
6666,mscan
6667,warezmaster
6668,normal
6669,saint
6670,neptune
6671,normal
6672,apache2
6673,normal
6674,warezmaster
6675,neptune
6676,processtable
6677,normal
6678,guess_passwd
6679,guess_passwd
6680,warezmaster
6681,neptune
6682,normal
6683,normal
6684,normal
6685,normal
6686,normal
6687,mscan
6688,normal
6689,normal
6690,normal
6691,back
6692,normal
6693,neptune
6694,apache2
6695,normal
6696,neptune
6697,warezmaster
6698,normal
6699,normal
6700,back
6701,mailbomb
6702,neptune
6703,neptune
6704,normal
6705,normal
6706,mscan
6707,normal
6708,processtable
6709,satan
6710,guess_passwd
6711,smurf
6712,normal
6713,normal
6714,normal
6715,normal
6716,normal
6717,normal
6718,neptune
6719,normal
6720,mscan
6721,portsweep
6722,normal
6723,neptune
6724,apache2
6725,warezmaster
6726,apache2
6727,normal
6728,normal
6729,normal
6730,guess_passwd
6731,normal
6732,smurf
6733,normal
6734,neptune
6735,mscan
6736,mailbomb
6737,neptune
6738,normal
6739,normal
6740,processtable
6741,normal
6742,normal
6743,neptune
6744,normal
6745,satan
6746,smurf
6747,normal
6748,apache2
6749,neptune
6750,normal
6751,neptune
6752,nmap
6753,satan
6754,satan
6755,normal
6756,back
6757,normal
6758,warezmaster
6759,apache2
6760,normal
6761,normal
6762,normal
6763,neptune
6764,normal
6765,neptune
6766,satan
6767,saint
6768,normal
6769,normal
6770,neptune
6771,normal
6772,neptune
6773,normal
6774,normal
6775,mscan
6776,smurf
6777,neptune
6778,normal
6779,normal
6780,neptune
6781,normal
6782,normal
6783,normal
6784,smurf
6785,apache2
6786,portsweep
6787,normal
6788,snmpgetattack
6789,normal
6790,guess_passwd
6791,neptune
6792,neptune
6793,satan
6794,warezmaster
6795,normal
6796,apache2
6797,neptune
6798,normal
6799,guess_passwd
6800,normal
6801,back
6802,normal
6803,normal
6804,normal
6805,normal
6806,satan
6807,normal
6808,normal
6809,processtable
6810,httptunnel
6811,neptune
6812,warezmaster
6813,normal
6814,normal
6815,normal
6816,apache2
6817,normal
6818,saint
6819,normal
6820,smurf
6821,normal
6822,smurf
6823,neptune
6824,guess_passwd
6825,neptune
6826,normal
6827,neptune
6828,satan
6829,guess_passwd
6830,neptune
6831,normal
6832,normal
6833,normal
6834,back
6835,neptune
6836,neptune
6837,neptune
6838,normal
6839,satan
6840,normal
6841,guess_passwd
6842,warezmaster
6843,warezmaster
6844,neptune
6845,mscan
6846,back
6847,mscan
6848,normal
6849,normal
6850,satan
6851,normal
6852,xterm
6853,apache2
6854,normal
6855,neptune
6856,normal
6857,snmpguess
6858,normal
6859,saint
6860,normal
6861,mscan
6862,guess_passwd
6863,normal
6864,neptune
6865,neptune
6866,neptune
6867,smurf
6868,normal
6869,normal
6870,normal
6871,normal
6872,normal
6873,normal
6874,normal
6875,satan
6876,mscan
6877,normal
6878,normal
6879,normal
6880,normal
6881,normal
6882,neptune
6883,neptune
6884,portsweep
6885,guess_passwd
6886,processtable
6887,neptune
6888,normal
6889,neptune
6890,normal
6891,normal
6892,portsweep
6893,neptune
6894,guess_passwd
6895,normal
6896,neptune
6897,snmpguess
6898,normal
6899,normal
6900,neptune
6901,warezmaster
6902,mailbomb
6903,normal
6904,apache2
6905,normal
6906,satan
6907,processtable
6908,normal
6909,warezmaster
6910,normal
6911,normal
6912,normal
6913,mailbomb
6914,mailbomb
6915,warezmaster
6916,neptune
6917,normal
6918,mscan
6919,neptune
6920,normal
6921,normal
6922,normal
6923,normal
6924,guess_passwd
6925,guess_passwd
6926,back
6927,neptune
6928,neptune
6929,neptune
6930,warezmaster
6931,normal
6932,ipsweep
6933,guess_passwd
6934,smurf
6935,smurf
6936,processtable
6937,normal
6938,processtable
6939,neptune
6940,normal
6941,back
6942,smurf
6943,neptune
6944,back
6945,neptune
6946,neptune
6947,normal
6948,mailbomb
6949,normal
6950,neptune
6951,normal
6952,normal
6953,normal
6954,warezmaster
6955,neptune
6956,normal
6957,normal
6958,neptune
6959,normal
6960,normal
6961,normal
6962,neptune
6963,warezmaster
6964,normal
6965,normal
6966,normal
6967,normal
6968,apache2
6969,normal
6970,normal
6971,neptune
6972,normal
6973,guess_passwd
6974,normal
6975,neptune
6976,normal
6977,normal
6978,normal
6979,normal
6980,normal
6981,neptune
6982,neptune
6983,normal
6984,neptune
6985,processtable
6986,normal
6987,neptune
6988,normal
6989,normal
6990,smurf
6991,neptune
6992,normal
6993,smurf
6994,ipsweep
6995,warezmaster
6996,normal
6997,portsweep
6998,normal
6999,normal
7000,neptune
7001,normal
7002,normal
7003,normal
7004,normal
7005,neptune
7006,guess_passwd
7007,warezmaster
7008,guess_passwd
7009,normal
7010,mscan
7011,mscan
7012,normal
7013,normal
7014,back
7015,neptune
7016,satan
7017,normal
7018,neptune
7019,neptune
7020,normal
7021,neptune
7022,smurf
7023,snmpgetattack
7024,normal
7025,neptune
7026,processtable
7027,neptune
7028,normal
7029,normal
7030,guess_passwd
7031,normal
7032,normal
7033,normal
7034,neptune
7035,normal
7036,neptune
7037,normal
7038,warezmaster
7039,neptune
7040,normal
7041,normal
7042,mscan
7043,portsweep
7044,normal
7045,normal
7046,normal
7047,mailbomb
7048,guess_passwd
7049,normal
7050,neptune
7051,apache2
7052,normal
7053,mscan
7054,normal
7055,mscan
7056,neptune
7057,normal
7058,neptune
7059,smurf
7060,neptune
7061,smurf
7062,saint
7063,normal
7064,normal
7065,normal
7066,warezmaster
7067,neptune
7068,neptune
7069,processtable
7070,smurf
7071,smurf
7072,normal
7073,back
7074,mscan
7075,guess_passwd
7076,processtable
7077,guess_passwd
7078,normal
7079,guess_passwd
7080,normal
7081,guess_passwd
7082,normal
7083,neptune
7084,guess_passwd
7085,neptune
7086,warezmaster
7087,portsweep
7088,normal
7089,guess_passwd
7090,satan
7091,warezmaster
7092,neptune
7093,neptune
7094,guess_passwd
7095,apache2
7096,neptune
7097,normal
7098,normal
7099,warezmaster
7100,guess_passwd
7101,mscan
7102,normal
7103,normal
7104,mscan
7105,normal
7106,mscan
7107,normal
7108,mscan
7109,normal
7110,warezmaster
7111,normal
7112,normal
7113,normal
7114,neptune
7115,normal
7116,normal
7117,neptune
7118,neptune
7119,neptune
7120,normal
7121,normal
7122,guess_passwd
7123,warezmaster
7124,normal
7125,normal
7126,neptune
7127,normal
7128,normal
7129,neptune
7130,processtable
7131,imap
7132,saint
7133,neptune
7134,normal
7135,normal
7136,smurf
7137,normal
7138,normal
7139,normal
7140,normal
7141,neptune
7142,processtable
7143,mscan
7144,neptune
7145,normal
7146,neptune
7147,normal
7148,apache2
7149,normal
7150,guess_passwd
7151,normal
7152,normal
7153,warezmaster
7154,normal
7155,normal
7156,normal
7157,normal
7158,mscan
7159,neptune
7160,normal
7161,neptune
7162,normal
7163,normal
7164,normal
7165,neptune
7166,neptune
7167,normal
7168,neptune
7169,neptune
7170,mscan
7171,normal
7172,normal
7173,neptune
7174,multihop
7175,neptune
7176,neptune
7177,processtable
7178,satan
7179,neptune
7180,processtable
7181,guess_passwd
7182,normal
7183,smurf
7184,normal
7185,guess_passwd
7186,guess_passwd
7187,normal
7188,normal
7189,apache2
7190,normal
7191,normal
7192,guess_passwd
7193,warezmaster
7194,normal
7195,neptune
7196,normal
7197,guess_passwd
7198,guess_passwd
7199,normal
7200,normal
7201,normal
7202,processtable
7203,normal
7204,apache2
7205,guess_passwd
7206,warezmaster
7207,normal
7208,guess_passwd
7209,snmpguess
7210,normal
7211,normal
7212,guess_passwd
7213,guess_passwd
7214,portsweep
7215,normal
7216,apache2
7217,normal
7218,guess_passwd
7219,neptune
7220,normal
7221,neptune
7222,neptune
7223,neptune
7224,normal
7225,back
7226,apache2
7227,neptune
7228,warezmaster
7229,normal
7230,normal
7231,normal
7232,neptune
7233,back
7234,normal
7235,normal
7236,normal
7237,neptune
7238,normal
7239,apache2
7240,neptune
7241,neptune
7242,warezmaster
7243,neptune
7244,smurf
7245,saint
7246,normal
7247,normal
7248,smurf
7249,guess_passwd
7250,mscan
7251,normal
7252,neptune
7253,mscan
7254,normal
7255,warezmaster
7256,neptune
7257,normal
7258,normal
7259,normal
7260,guess_passwd
7261,normal
7262,normal
7263,normal
7264,neptune
7265,back
7266,normal
7267,neptune
7268,neptune
7269,normal
7270,satan
7271,normal
7272,neptune
7273,normal
7274,warezmaster
7275,apache2
7276,neptune
7277,normal
7278,mscan
7279,guess_passwd
7280,normal
7281,neptune
7282,satan
7283,guess_passwd
7284,normal
7285,neptune
7286,neptune
7287,normal
7288,neptune
7289,mailbomb
7290,normal
7291,mscan
7292,normal
7293,neptune
7294,guess_passwd
7295,snmpgetattack
7296,processtable
7297,neptune
7298,normal
7299,neptune
7300,satan
7301,neptune
7302,normal
7303,normal
7304,apache2
7305,normal
7306,neptune
7307,smurf
7308,neptune
7309,normal
7310,normal
7311,apache2
7312,warezmaster
7313,apache2
7314,normal
7315,processtable
7316,normal
7317,normal
7318,normal
7319,apache2
7320,mscan
7321,neptune
7322,apache2
7323,normal
7324,ipsweep
7325,normal
7326,neptune
7327,warezmaster
7328,satan
7329,normal
7330,back
7331,neptune
7332,neptune
7333,normal
7334,mailbomb
7335,normal
7336,guess_passwd
7337,neptune
7338,apache2
7339,normal
7340,neptune
7341,neptune
7342,neptune
7343,ipsweep
7344,neptune
7345,neptune
7346,normal
7347,neptune
7348,normal
7349,normal
7350,normal
7351,normal
7352,normal
7353,normal
7354,processtable
7355,normal
7356,normal
7357,warezmaster
7358,processtable
7359,ipsweep
7360,normal
7361,apache2
7362,mscan
7363,normal
7364,mscan
7365,normal
7366,normal
7367,apache2
7368,neptune
7369,saint
7370,normal
7371,normal
7372,normal
7373,satan
7374,normal
7375,neptune
7376,apache2
7377,neptune
7378,normal
7379,normal
7380,normal
7381,satan
7382,normal
7383,mscan
7384,apache2
7385,normal
7386,normal
7387,guess_passwd
7388,pod
7389,neptune
7390,normal
7391,neptune
7392,normal
7393,neptune
7394,smurf
7395,mailbomb
7396,normal
7397,normal
7398,normal
7399,normal
7400,apache2
7401,normal
7402,neptune
7403,processtable
7404,neptune
7405,normal
7406,normal
7407,neptune
7408,ipsweep
7409,neptune
7410,neptune
7411,normal
7412,mailbomb
7413,neptune
7414,normal
7415,normal
7416,normal
7417,normal
7418,normal
7419,apache2
7420,normal
7421,normal
7422,normal
7423,neptune
7424,httptunnel
7425,guess_passwd
7426,snmpguess
7427,back
7428,normal
7429,guess_passwd
7430,neptune
7431,normal
7432,normal
7433,neptune
7434,normal
7435,mailbomb
7436,neptune
7437,normal
7438,warezmaster
7439,normal
7440,normal
7441,apache2
7442,normal
7443,neptune
7444,normal
7445,snmpgetattack
7446,normal
7447,neptune
7448,mscan
7449,normal
7450,normal
7451,saint
7452,normal
7453,warezmaster
7454,mscan
7455,satan
7456,mscan
7457,neptune
7458,satan
7459,normal
7460,normal
7461,neptune
7462,snmpguess
7463,warezmaster
7464,normal
7465,normal
7466,normal
7467,ipsweep
7468,normal
7469,normal
7470,smurf
7471,neptune
7472,saint
7473,neptune
7474,neptune
7475,apache2
7476,normal
7477,normal
7478,normal
7479,normal
7480,neptune
7481,saint
7482,neptune
7483,normal
7484,saint
7485,neptune
7486,normal
7487,normal
7488,neptune
7489,normal
7490,smurf
7491,normal
7492,mscan
7493,normal
7494,warezmaster
7495,normal
7496,normal
7497,normal
7498,normal
7499,neptune
7500,httptunnel
7501,xlock
7502,normal
7503,normal
7504,neptune
7505,normal
7506,normal
7507,ipsweep
7508,normal
7509,neptune
7510,neptune
7511,apache2
7512,httptunnel
7513,normal
7514,neptune
7515,normal
7516,satan
7517,smurf
7518,neptune
7519,normal
7520,neptune
7521,warezmaster
7522,normal
7523,normal
7524,normal
7525,smurf
7526,neptune
7527,snmpguess
7528,guess_passwd
7529,processtable
7530,normal
7531,neptune
7532,mscan
7533,normal
7534,neptune
7535,satan
7536,snmpguess
7537,normal
7538,normal
7539,snmpguess
7540,processtable
7541,normal
7542,snmpguess
7543,smurf
7544,normal
7545,apache2
7546,neptune
7547,neptune
7548,warezmaster
7549,normal
7550,ipsweep
7551,normal
7552,normal
7553,mscan
7554,processtable
7555,neptune
7556,neptune
7557,guess_passwd
7558,portsweep
7559,normal
7560,normal
7561,normal
7562,neptune
7563,normal
7564,neptune
7565,mscan
7566,neptune
7567,normal
7568,neptune
7569,processtable
7570,neptune
7571,neptune
7572,normal
7573,normal
7574,satan
7575,normal
7576,normal
7577,normal
7578,saint
7579,apache2
7580,mscan
7581,normal
7582,neptune
7583,saint
7584,normal
7585,warezmaster
7586,normal
7587,normal
7588,apache2
7589,normal
7590,normal
7591,normal
7592,normal
7593,normal
7594,normal
7595,neptune
7596,normal
7597,normal
7598,mscan
7599,normal
7600,normal
7601,normal
7602,normal
7603,neptune
7604,normal
7605,satan
7606,normal
7607,neptune
7608,neptune
7609,normal
7610,satan
7611,normal
7612,normal
7613,processtable
7614,neptune
7615,guess_passwd
7616,normal
7617,neptune
7618,smurf
7619,normal
7620,normal
7621,normal
7622,neptune
7623,guess_passwd
7624,neptune
7625,saint
7626,normal
7627,normal
7628,apache2
7629,mscan
7630,guess_passwd
7631,back
7632,saint
7633,xlock
7634,snmpguess
7635,normal
7636,neptune
7637,normal
7638,normal
7639,neptune
7640,snmpguess
7641,smurf
7642,normal
7643,normal
7644,neptune
7645,back
7646,normal
7647,neptune
7648,neptune
7649,normal
7650,neptune
7651,nmap
7652,satan
7653,normal
7654,normal
7655,smurf
7656,neptune
7657,saint
7658,smurf
7659,neptune
7660,normal
7661,neptune
7662,normal
7663,neptune
7664,normal
7665,apache2
7666,normal
7667,smurf
7668,mscan
7669,normal
7670,normal
7671,normal
7672,apache2
7673,mscan
7674,normal
7675,normal
7676,smurf
7677,guess_passwd
7678,normal
7679,normal
7680,neptune
7681,normal
7682,guess_passwd
7683,warezmaster
7684,normal
7685,normal
7686,normal
7687,normal
7688,httptunnel
7689,neptune
7690,neptune
7691,normal
7692,normal
7693,apache2
7694,guess_passwd
7695,neptune
7696,neptune
7697,normal
7698,neptune
7699,normal
7700,normal
7701,neptune
7702,neptune
7703,normal
7704,normal
7705,warezmaster
7706,neptune
7707,normal
7708,normal
7709,normal
7710,guess_passwd
7711,normal
7712,normal
7713,guess_passwd
7714,neptune
7715,mscan
7716,normal
7717,back
7718,normal
7719,normal
7720,warezmaster
7721,neptune
7722,normal
7723,normal
7724,mailbomb
7725,mailbomb
7726,neptune
7727,normal
7728,nmap
7729,normal
7730,normal
7731,neptune
7732,normal
7733,neptune
7734,mscan
7735,normal
7736,normal
7737,neptune
7738,normal
7739,normal
7740,normal
7741,normal
7742,normal
7743,normal
7744,normal
7745,neptune
7746,apache2
7747,warezmaster
7748,normal
7749,smurf
7750,neptune
7751,normal
7752,normal
7753,back
7754,normal
7755,processtable
7756,neptune
7757,normal
7758,normal
7759,neptune
7760,satan
7761,neptune
7762,neptune
7763,normal
7764,normal
7765,normal
7766,guess_passwd
7767,normal
7768,normal
7769,warezmaster
7770,neptune
7771,neptune
7772,normal
7773,normal
7774,neptune
7775,normal
7776,normal
7777,normal
7778,satan
7779,guess_passwd
7780,guess_passwd
7781,neptune
7782,normal
7783,neptune
7784,mscan
7785,normal
7786,neptune
7787,processtable
7788,normal
7789,neptune
7790,normal
7791,normal
7792,saint
7793,apache2
7794,normal
7795,normal
7796,normal
7797,normal
7798,guess_passwd
7799,warezmaster
7800,normal
7801,processtable
7802,normal
7803,normal
7804,back
7805,normal
7806,normal
7807,satan
7808,neptune
7809,neptune
7810,normal
7811,neptune
7812,normal
7813,satan
7814,warezmaster
7815,normal
7816,warezmaster
7817,normal
7818,smurf
7819,normal
7820,processtable
7821,normal
7822,neptune
7823,normal
7824,guess_passwd
7825,neptune
7826,normal
7827,neptune
7828,warezmaster
7829,ipsweep
7830,satan
7831,normal
7832,normal
7833,portsweep
7834,normal
7835,normal
7836,satan
7837,mscan
7838,normal
7839,normal
7840,smurf
7841,smurf
7842,neptune
7843,guess_passwd
7844,normal
7845,guess_passwd
7846,normal
7847,saint
7848,normal
7849,neptune
7850,guess_passwd
7851,satan
7852,normal
7853,warezmaster
7854,warezmaster
7855,normal
7856,neptune
7857,normal
7858,normal
7859,mscan
7860,mscan
7861,normal
7862,normal
7863,normal
7864,normal
7865,normal
7866,normal
7867,guess_passwd
7868,neptune
7869,normal
7870,normal
7871,satan
7872,normal
7873,normal
7874,normal
7875,apache2
7876,neptune
7877,neptune
7878,neptune
7879,normal
7880,mscan
7881,normal
7882,normal
7883,normal
7884,processtable
7885,ipsweep
7886,warezmaster
7887,mscan
7888,normal
7889,normal
7890,neptune
7891,normal
7892,guess_passwd
7893,mailbomb
7894,normal
7895,portsweep
7896,normal
7897,normal
7898,back
7899,neptune
7900,normal
7901,normal
7902,normal
7903,normal
7904,mailbomb
7905,normal
7906,nmap
7907,normal
7908,neptune
7909,neptune
7910,processtable
7911,normal
7912,normal
7913,normal
7914,apache2
7915,normal
7916,mscan
7917,neptune
7918,normal
7919,normal
7920,normal
7921,normal
7922,guess_passwd
7923,mailbomb
7924,mscan
7925,normal
7926,neptune
7927,apache2
7928,neptune
7929,saint
7930,ipsweep
7931,normal
7932,smurf
7933,normal
7934,guess_passwd
7935,normal
7936,neptune
7937,normal
7938,neptune
7939,neptune
7940,smurf
7941,normal
7942,saint
7943,mscan
7944,warezmaster
7945,neptune
7946,normal
7947,guess_passwd
7948,normal
7949,normal
7950,normal
7951,normal
7952,smurf
7953,nmap
7954,normal
7955,normal
7956,normal
7957,apache2
7958,neptune
7959,normal
7960,processtable
7961,normal
7962,neptune
7963,neptune
7964,snmpguess
7965,normal
7966,neptune
7967,normal
7968,normal
7969,neptune
7970,satan
7971,neptune
7972,neptune
7973,normal
7974,smurf
7975,warezmaster
7976,saint
7977,normal
7978,normal
7979,normal
7980,portsweep
7981,normal
7982,normal
7983,guess_passwd
7984,neptune
7985,satan
7986,normal
7987,normal
7988,neptune
7989,guess_passwd
7990,normal
7991,snmpguess
7992,neptune
7993,normal
7994,normal
7995,satan
7996,mscan
7997,neptune
7998,guess_passwd
7999,normal
8000,guess_passwd
8001,neptune
8002,normal
8003,normal
8004,mailbomb
8005,normal
8006,smurf
8007,guess_passwd
8008,satan
8009,httptunnel
8010,back
8011,neptune
8012,satan
8013,neptune
8014,normal
8015,neptune
8016,neptune
8017,normal
8018,normal
8019,normal
8020,neptune
8021,processtable
8022,neptune
8023,normal
8024,neptune
8025,normal
8026,processtable
8027,guess_passwd
8028,normal
8029,normal
8030,neptune
8031,neptune
8032,normal
8033,warezmaster
8034,normal
8035,apache2
8036,smurf
8037,neptune
8038,back
8039,mscan
8040,guess_passwd
8041,mscan
8042,normal
8043,satan
8044,neptune
8045,normal
8046,warezmaster
8047,warezmaster
8048,snmpguess
8049,normal
8050,guess_passwd
8051,snmpgetattack
8052,normal
8053,warezmaster
8054,neptune
8055,apache2
8056,normal
8057,mscan
8058,normal
8059,neptune
8060,normal
8061,snmpguess
8062,guess_passwd
8063,neptune
8064,normal
8065,normal
8066,apache2
8067,guess_passwd
8068,normal
8069,httptunnel
8070,normal
8071,apache2
8072,neptune
8073,processtable
8074,processtable
8075,neptune
8076,neptune
8077,normal
8078,normal
8079,normal
8080,snmpguess
8081,normal
8082,normal
8083,normal
8084,neptune
8085,normal
8086,normal
8087,neptune
8088,warezmaster
8089,neptune
8090,neptune
8091,normal
8092,neptune
8093,neptune
8094,normal
8095,snmpguess
8096,normal
8097,neptune
8098,neptune
8099,normal
8100,normal
8101,neptune
8102,normal
8103,warezmaster
8104,normal
8105,guess_passwd
8106,normal
8107,normal
8108,processtable
8109,normal
8110,neptune
8111,normal
8112,neptune
8113,guess_passwd
8114,apache2
8115,mscan
8116,normal
8117,neptune
8118,normal
8119,guess_passwd
8120,neptune
8121,normal
8122,normal
8123,warezmaster
8124,sqlattack
8125,neptune
8126,neptune
8127,mscan
8128,warezmaster
8129,snmpguess
8130,snmpguess
8131,neptune
8132,normal
8133,neptune
8134,normal
8135,normal
8136,snmpguess
8137,normal
8138,warezmaster
8139,normal
8140,mscan
8141,back
8142,normal
8143,satan
8144,normal
8145,warezmaster
8146,normal
8147,normal
8148,guess_passwd
8149,normal
8150,normal
8151,warezmaster
8152,warezmaster
8153,satan
8154,apache2
8155,neptune
8156,neptune
8157,normal
8158,normal
8159,normal
8160,satan
8161,warezmaster
8162,normal
8163,normal
8164,normal
8165,normal
8166,neptune
8167,processtable
8168,normal
8169,satan
8170,saint
8171,normal
8172,normal
8173,normal
8174,normal
8175,saint
8176,normal
8177,guess_passwd
8178,satan
8179,normal
8180,normal
8181,back
8182,normal
8183,warezmaster
8184,snmpgetattack
8185,normal
8186,normal
8187,normal
8188,guess_passwd
8189,normal
8190,warezmaster
8191,neptune
8192,normal
8193,normal
8194,smurf
8195,normal
8196,normal
8197,neptune
8198,normal
8199,normal
8200,neptune
8201,normal
8202,neptune
8203,httptunnel
8204,normal
8205,normal
8206,normal
8207,normal
8208,normal
8209,normal
8210,normal
8211,neptune
8212,guess_passwd
8213,guess_passwd
8214,guess_passwd
8215,normal
8216,neptune
8217,normal
8218,normal
